nan,nan,2.392403781414031982e-02,9.580472856760025024e-02,1.379967033863067627e-01,1.696095615625381470e-01,1.881249248981475830e-01,2.141082137823104858e-01,2.552537620067596436e-01,3.188243210315704346e-01,5.000000000000000000e-01,1.090909004211425781e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.668415009975433350e-02,nan,1.317475885152816772e-01,nan,1.727190315723419189e-01,nan,2.163844853639602661e-01,nan,3.166525065898895264e-01,nan,1.083333373069763184e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.593673206865787506e-02,7.859953492879867554e-02,1.162733137607574463e-01,1.425329446792602539e-01,1.637181490659713745e-01,1.816776096820831299e-01,1.957610845565795898e-01,2.203524857759475708e-01,2.506167888641357422e-01,3.138779103755950928e-01,5.000000000000000000e-01,1.076923131942749023e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.209650352597236633e-02,nan,1.049501672387123108e-01,nan,1.506355851888656616e-01,nan,1.802138090133666992e-01,nan,2.215595990419387817e-01,nan,3.176570832729339600e-01,nan,1.071428775787353516e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,1.540533825755119324e-02,6.839852780103683472e-02,9.975853562355041504e-02,1.237320229411125183e-01,1.431080698966979980e-01,1.603104770183563232e-01,1.656516045331954956e-01,1.809296905994415283e-01,2.036011964082717896e-01,2.216585874557495117e-01,2.565685510635375977e-01,3.164533972740173340e-01,5.000000000000000000e-01,1.066666603088378906e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,1.226740609854459763e-02,nan,9.733689576387405396e-02,nan,1.301043927669525146e-01,nan,1.556070297956466675e-01,nan,1.877852827310562134e-01,nan,2.220829278230667114e-01,nan,3.180934488773345947e-01,nan,1.062500000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,7.179450243711471558e-03,6.221917644143104553e-02,9.878449141979217529e-02,1.134644895792007446e-01,1.265390068292617798e-01,1.397051364183425903e-01,1.491115093231201172e-01,1.586146354675292969e-01,1.694068610668182373e-01,1.841359883546829224e-01,1.985870599746704102e-01,2.180024981498718262e-01,2.529841065406799316e-01,3.177470862865447998e-01,5.000000000000000000e-01,1.058823585510253906e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,7.847423665225505829e-03,nan,9.181131422519683838e-02,nan,1.229506880044937134e-01,nan,1.408779919147491455e-01,nan,1.591865420341491699e-01,nan,1.810410320758819580e-01,nan,2.234793901443481445e-01,nan,3.190628588199615479e-01,nan,1.055555582046508789e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,9.322564117610454559e-03,4.887773841619491577e-02,8.761589974164962769e-02,1.046249493956565857e-01,1.174321398138999939e-01,1.319557726383209229e-01,1.397397071123123169e-01,1.448184251785278320e-01,1.571589261293411255e-01,1.588881164789199829e-01,1.723575741052627563e-01,1.861305534839630127e-01,1.962412148714065552e-01,2.203640192747116089e-01,2.529815137386322021e-01,3.197183310985565186e-01,5.000000000000000000e-01,1.052631616592407227e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,1.123225968331098557e-02,nan,8.411911129951477051e-02,nan,1.162604838609695435e-01,nan,1.327439397573471069e-01,nan,1.454147547483444214e-01,nan,1.617489308118820190e-01,nan,1.853344589471817017e-01,nan,2.230857461690902710e-01,nan,3.187972605228424072e-01,nan,1.050000071525573730e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
