n,k,avg_rprmax,avg_rppmax
21,10,0.015346534716671972,0.28299989525954033
21,12,0.016202951419141028,0.3519318043445804
21,14,0.01756976416875674,0.4392676425250831
21,16,0.01989474905220528,0.5633893768210243
21,18,0.024538189485584727,0.7792320355866601
21,20,0.04009155588687868,1.4339831121005133
22,2,0.002500386020084858,0.011821656093586713
22,3,0.007853751049395986,0.05150255256334814
22,4,0.010939524744232593,0.0910924303930616
22,5,0.012424884707629199,0.12493185520255796
22,6,0.013096105779596587,0.1539201031144601
22,7,0.013475253673264995,0.18096668808814273
22,8,0.013663394262951895,0.2061601421500102
22,9,0.013975954061215452,0.23392158310767924
22,10,0.014228753465500127,0.2614679742100673
22,11,0.014553459976890162,0.29119652597501205
22,12,0.014932531966329113,0.32309874881941764
22,13,0.015410410733679833,0.3585156454990634
22,14,0.01597908349531032,0.397754651251797
22,15,0.016714404330510496,0.44334613160732833
22,16,0.017670241131954353,0.497712812982997
22,17,0.01894717389615236,0.5651000251161011
22,18,0.020731492280044825,0.6532857622778472
22,19,0.023405659403517062,0.7782455111451616
22,20,0.02796758604919387,0.9816118255511113
22,21,0.03830319361754194,1.427320881217386
23,2,0.002234462948387569,0.01054153665518304
23,4,0.010173154535284466,0.08449608460792912
23,6,0.012273395371732101,0.1438581497836746
23,8,0.012793232271275448,0.1924698841747387
23,10,0.013306946331227814,0.24377444095346562
23,12,0.013852277686866346,0.2987084011477055
23,14,0.014656155417813881,0.3634288399157973
23,16,0.015936868680130906,0.4468654493734858
23,18,0.018087499572842725,0.566589714701662
23,20,0.022375440832077386,0.7773138584064353
23,22,0.03667277929488421,1.4212854712516532
24,2,0.0020064487228645634,0.009447199969650774
24,3,0.005768883821867794,0.037642964977024074
24,4,0.00971457470459503,0.0805122514797992
24,5,0.01097017129337356,0.10975719318372683
24,6,0.01152597267530599,0.13476168246431589
24,7,0.011789431328043904,0.15746533011387212
24,8,0.01206391084989529,0.18102740699050415
24,9,0.012263479206097544,0.20408406154616773
24,10,0.012472979536701621,0.22785396241572714
24,11,0.012683636977299517,0.25222698300369534
24,12,0.012908330749214183,0.27750367323061115
24,13,0.013201398159867428,0.30504187630944657
24,14,0.013560673740795373,0.3351360739114691
24,15,0.013988329587005946,0.3681822137378975
24,16,0.014531630488569463,0.4058772646796622
24,17,0.015222745919836666,0.44978346506777545
24,18,0.016117326029697628,0.5024397304178295
24,19,0.017302901078338297,0.5678596063872742
24,20,0.018957804915040715,0.6539322723627515
24,21,0.021434193595840513,0.7764353399013835
24,22,0.02564713469598416,0.9763466069792006
24,23,0.035179979438014514,1.4157924006260125
25,2,0.0018096782079825523,0.008505394397831838
25,4,0.009159159298844583,0.07575349358024557
25,6,0.010971925517194659,0.12800580643663367
25,8,0.01143092553564648,0.1711275275633495
25,10,0.011749588054004738,0.2140950012130368
25,12,0.012089835068723956,0.25919404004853985
25,14,0.01260230561234305,0.31050944333987374
25,16,0.01337583179697916,0.3723265427147816
25,18,0.01457503539011562,0.45251460615067157
25,20,0.01658661243819875,0.569039370523669
25,22,0.020570699902093023,0.7756036579474184
25,24,0.03380783320449083,1.4107717158488782
26,2,0.0016388626177292842,0.007689857968452012
26,3,0.005648975437415938,0.03673428957664916
26,4,0.008697955203524238,0.07180404983747449
26,5,0.009986260143094594,0.09951334476294744
26,6,0.010382449362817094,0.12087858799318407
26,7,0.010669516628826207,0.14189380675759514
26,8,0.010900454098038689,0.1628429444320631
26,9,0.01100944199142746,0.18236778617336305
26,10,0.011111834962517057,0.20200771419198124
26,11,0.011223750388923027,0.22207062039427558
26,12,0.011371271247877722,0.2431823920813828
26,13,0.011556147722469313,0.2655690438620569
26,14,0.011779189183814676,0.28944217232573
26,15,0.012058959708081476,0.31548968243542347
26,16,0.012392361349806286,0.34390869347388164
26,17,0.012805738393456131,0.3757568289731881
26,18,0.013327445166709518,0.41233126822736965
26,19,0.013976875773505704,0.454824812420018
26,20,0.014816582108553305,0.5060781606944458
26,21,0.015927116663374784,0.5700378220446434
26,22,0.0174700553303253,0.6543704340349923
26,23,0.01977539692439993,0.7748065501337887
26,24,0.023691316710361024,0.9718899442294238
26,25,0.03254207788350749,1.4061649974309767
27,2,0.0014897662199123672,0.0069796471053681
27,4,0.008574691421096306,0.07067834135335505
27,6,0.009831143368270076,0.11424155303924066
27,8,0.010269122578450455,0.15309152316558663
27,10,0.010522347913928176,0.190883716538217
27,12,0.010744192130910591,0.22925403842438702
27,14,0.011063776658587456,0.2711977670983099
27,16,0.011555597437994457,0.3198229569341499
27,18,0.012290123103652361,0.37906914857639695
27,20,0.013428115315774836,0.4569537076217761
27,22,0.015318752017801477,0.5709137065866812
27,24,0.01904091074948227,0.7740617935056053
27,26,0.03137063048952491,1.4019230769230717
28,2,0.001358967502857217,0.006357909817778505
28,3,0.005656219584211686,0.03667945982573512
28,4,0.0080669328551719,0.06638223315214767
28,5,0.008879417648047158,0.08816431238025092
28,6,0.009443126800522011,0.10954965043625084
28,7,0.009653345058049915,0.12790107190841968
28,8,0.009825880665627649,0.1462215641807782
28,9,0.00990658560779399,0.16344555461800594
28,10,0.010003326616037535,0.18111560215702555
28,11,0.010061747506120508,0.19824172138888127
28,12,0.01017430071714492,0.21664328366551028
28,13,0.010288922083068275,0.23538593646102993
28,14,0.010430307466813905,0.2550999391872246
28,15,0.010612372486488589,0.27628908508539946
28,16,0.010827372307616575,0.29893861159273205
28,17,0.011093803598016776,0.3237617828344955
28,18,0.011417561157001052,0.3511977068636338
28,19,0.011813392622266935,0.3820166721123573
28,20,0.012302749770355965,0.4173200073248934
28,21,0.012920366095488026,0.4588372519166609
28,22,0.01371051429496331,0.5089014620974671
28,23,0.014754636753452937,0.5716397553402264
28,24,0.016202339656847302,0.6546111740107442
28,25,0.01836023026417827,0.7733551928204487
28,26,0.022019679150178592,0.9680694551246559
28,27,0.030283184798085235,1.3980042755356437
29,2,0.0012436806654764166,0.005810974043204852
29,4,0.007519235821502271,0.061777165394457975
29,6,0.009008781728804167,0.10434259566151069
29,8,0.009382272156640925,0.1393834760249987
29,10,0.00953551788370277,0.17233671267040512
29,12,0.009662337799841028,0.20534933292299234
29,14,0.009868803274421046,0.24087521105503124
29,16,0.010191325561882235,0.2807569138052402
29,18,0.010663853515282585,0.3272109357623306
29,20,0.01136810596690334,0.3845350516952604
29,22,0.01245027335219249,0.46054780898440606
