n,k,avg_rprmax,avg_rppmax
20,7,0.021682736337817456,0.42202901084079586
20,8,0.021829704335357185,0.45673271285998585
20,9,0.02207562494712908,0.4918474724080231
20,10,0.022438717245933194,0.52822519037579
20,11,0.02289027662511483,0.5660542063116135
20,12,0.023547173069247328,0.6077446855663126
20,13,0.024427158728921882,0.6545746277708229
20,14,0.025638536285309755,0.7097655555853148
20,15,0.02732458129445292,0.7782646111480686
20,16,0.029760227275297303,0.8701074825366388
20,17,0.033518901915289584,1.009774592439032
20,18,0.04008092960231627,1.2865686059070613
20,19,0.05540166204986159,inf
21,2,0.004879765312062762,0.10156711309986143
21,4,0.01767652148745193,0.2791369321139829
21,6,0.019951572330237116,0.36981144939374866
21,8,0.020292575259852164,0.4376953994107716
21,10,0.020720372867731096,0.5033887412074916
21,12,0.021473115636014294,0.5733568133109364
21,14,0.022973301893012298,0.6591768734601848
21,16,0.025781866583267688,0.7808704893932011
21,18,0.031697420209360574,1.0096618199848404
21,20,0.0525,inf
22,2,0.004337981028127316,0.09561864431003306
22,3,0.012598171614003506,0.2007959485221651
22,4,0.01671193149999648,0.270587397629767
22,5,0.01833661508347665,0.31995285962228026
22,6,0.01882655749047625,0.3579305189750742
22,7,0.018972998216392582,0.3909968419937831
22,8,0.018912845653901625,0.42027624395196916
22,9,0.019075454574178276,0.4512357847554549
22,10,0.01918976505104462,0.4809044110804437
22,11,0.019428884059653616,0.5120181573835604
22,12,0.01976109465844406,0.5446113985435956
22,13,0.020240623189222363,0.5800940951722081
22,14,0.020852022251220886,0.6188308827095053
22,15,0.021692728090658416,0.6634328312047347
22,16,0.022830883984166807,0.7165379083231669
22,17,0.02439729020768138,0.7830262286129658
22,18,0.026637732238776562,0.8727251623530791
22,19,0.030062936328508243,1.009525521647342
22,20,0.036023143987910754,1.28134215656951
22,21,0.04988662131519266,inf
23,2,0.0038766933646046976,0.09026985811106357
23,4,0.0155357163003348,0.2602001208604706
23,6,0.01763426749113458,0.3451328255077583
23,8,0.017695416273250674,0.4045927400666881
23,10,0.017930162386030908,0.4620486221301233
23,12,0.01830912334587142,0.519886733241789
23,14,0.019093973814897074,0.5851491066947843
23,16,0.020543023293595305,0.6671246934625472
23,18,0.023152924449235807,0.7849263047829957
23,20,0.028587665744734935,1.0093581755896326
23,22,0.04752066115702488,inf
24,2,0.0034811734675533,0.08543704149323274
24,3,0.009246754735668602,0.17062493357875314
24,4,0.014832778450817413,0.25384386493386263
24,5,0.01617681273055711,0.29873536032823506
24,6,0.016552135539502678,0.33326749489252017
24,7,0.01657802732759777,0.36247614217016744
24,8,0.01667652211501372,0.3911883383890018
24,9,0.01671174735814738,0.4180496652539662
24,10,0.016792491254608535,0.44473247310871705
24,11,0.016898963088569308,0.4712413532424766
24,12,0.017043189589112613,0.4980075311739821
24,13,0.017293435579663462,0.5265041773311007
24,14,0.01764248675075131,0.5570365796134433
24,15,0.01809003775478784,0.5900283327814628
24,16,0.018695787018619008,0.6272099078284923
24,17,0.019499546807114455,0.6702124354892156
24,18,0.020572272806850752,0.7217849784692885
24,19,0.022027185363484244,0.7865753778852402
24,20,0.02409768423631291,0.8745030708508649
24,21,0.02724957822678073,1.009170311474473
24,22,0.03270827386240661,1.2769049601519114
24,23,0.04536862003780696,inf
25,2,0.0031398534899144924,0.08105116179207728
25,4,0.013981607959862594,0.2458927659346719
25,6,0.015751036608976896,0.32424921924835054
25,8,0.015793266003885996,0.37934708273789236
25,10,0.015807217590302867,0.42946374369918316
25,12,0.015947665578820817,0.47877106238073114
25,14,0.016375823130954863,0.5322064644551392
25,16,0.017181556787241436,0.5942888674744136
25,18,0.018561804372076482,0.6731024408643508
25,20,0.021007470498900123,0.7881063148349903
25,22,0.026030373969284547,1.0089650657093743
25,24,0.04340277777777836,inf
26,2,0.002843555870707506,0.07705480606243294
26,3,0.00905518795921585,0.1692205530682712
26,4,0.013274965004211034,0.23923155928737802
26,5,0.014718474809794876,0.28375573096785106
26,6,0.014899009964264806,0.3145247702929664
26,7,0.014990994239472278,0.34270790727074085
26,8,0.01505387722421441,0.36924737467894
26,9,0.014985754423234885,0.39287974136547665
26,10,0.014939765630378427,0.4157874621394638
26,11,0.0149305748338693,0.43845231711432764
26,12,0.01498755626310069,0.4616408591408202
26,13,0.015108298416639711,0.4856205169378381
26,14,0.015290317087963756,0.5106302124719398
26,15,0.015555274450927508,0.5373892493503046
26,16,0.015896732023482598,0.5660977341902638
26,17,0.016347201603979903,0.5978294519526143
26,18,0.016941813388565426,0.6338969892238184
26,19,0.017704239480919506,0.6755668857669178
26,20,0.018714355580440618,0.7258844406927916
26,21,0.02007576934612219,0.7894305712696433
26,22,0.021998315435432146,0.8758915127167552
26,23,0.024914649294859825,1.008736914480254
26,24,0.02995001482624776,1.2730952658611614
26,25,0.04160000000000057,inf
27,2,0.002584931384861974,0.07339985271128385
27,4,0.01308707789226447,0.23735032691598193
27,6,0.01410277113332629,0.3052386145404713
27,8,0.014174316306124233,0.3570949977888865
27,10,0.01413889883724879,0.40295469243754906
27,12,0.014150970752256475,0.4464714652085024
27,14,0.014348652955080757,0.491641406054838
27,16,0.014806231132582207,0.5418956613922112
27,18,0.015599193338740335,0.6012425870485061
27,20,0.016923860522900732,0.677841405879341
27,22,0.019222324736104024,0.7906093371981935
27,24,0.02389042032961389,1.0085140193327908
27,26,0.039940828402366735,inf
28,2,0.002358044163951435,0.07004567920784859
28,3,0.009068618768244061,0.16919182106776953
28,4,0.012309267861550672,0.2297786048767731
28,5,0.01307888264277406,0.2663122829274405
28,6,0.01354295217253064,0.2985636068854343
28,7,0.01355297787369757,0.32419605765731924
28,8,0.013557629805292126,0.348367239928429
28,9,0.013470880097516336,0.37006212024118973
28,10,0.013434564533444054,0.39147365854378513
28,11,0.013368173238965442,0.41154658369248986
28,12,0.013391684951303356,0.4324911660775671
28,13,0.013431041786723344,0.45326674352898355
28,14,0.013516241603467543,0.4746102416880838
28,15,0.013663029449020203,0.49706659224723077
28,16,0.013859173837931912,0.5206145769470865
28,17,0.014127087510408564,0.545987238164372
28,18,0.014472905013117923,0.5736196628253902
28,19,0.014914399039312316,0.6042851197659302
28,20,0.015478065870919391,0.6391021620876373
28,21,0.01620754538859582,0.6798642001566069
28,22,0.01715889255449431,0.7291167350038682
28,23,0.01843627575917767,0.7916171788452167
28,24,0.020232577558964633,0.8769378426667899
28,25,0.02294661850896983,1.00828615599032
28,26,0.027619403342446735,1.2697913785057355
28,27,0.038408779149519755,inf
29,2,0.0021580616296936737,0.06695776749971886
29,4,0.011470645834403215,0.22133881687717608
29,6,0.012916404362866628,0.2909942221218857
29,8,0.01294078374548327,0.33951645444990813
29,10,0.012800356978677232,0.38096646773279547
29,12,0.012710411178108897,0.4197497891089169
29,14,0.01277949936434993,0.4593123319159159
29,16,0.013033522755915758,0.5018145881624945
29,18,0.013502301266161882,0.549570592350114
29,20,0.014281022094285764,0.6068945382008212
29,22,0.015549129065813943,0.6817070711457883
29,24,0.01771318665123101,0.7925797279706186
29,26,0.022074149176023194,1.008055166515951
29,28,0.03698979591836748,inf
30,2,0.0019810202852091475,0.06410660809089788
30,3,0.008260273035690947,0.16131576014440663
30,4,0.011402634873385418,0.220568305981894
30,5,0.012039275095891411,0.2547442378811036
30,6,0.012310666424966147,0.2835476486148888
30,7,0.012419563285409656,0.3090697064794112
30,8,0.01232613102172677,0.330561714724291
30,9,0.01229352553449772,0.3516992888467575
30,10,0.012210626684688761,0.3710449314833464
30,11,0.012117138833994187,0.38929241176270624
30,12,0.012097960158289723,0.40811702142251904
30,13,0.012083775856749211,0.42647915445747236
30,14,0.012121829586215906,0.4454546173176877
30,15,0.012185742568149823,0.4646926298594187
30,16,0.012289722069101432,0.4846514582538541
